num_voters,num_projects,version,setup,predictor,sample_degree,lv_degree,seed,k,num_tv,precision,recall,f1,fractional_allocation,symmetric_distance,pipeline_runtime,runtime
100,10,before,offline_popularity,classification,0.5,0.5,0,3,75,0.44666666666666666,0.3655555555555556,0.38066666666666665,0.7031076581576027,2,19.48215892899998,19.499490527000034
100,10,before,offline_popularity,classification,0.5,0.5,1,3,75,0.5806666666666667,0.5519047619047619,0.5213323713323713,0.49493243243243246,5,6.669268229999943,6.6973728279999705
100,10,before,offline_popularity,classification,0.5,0.5,2,3,75,0.6522222222222221,0.5326666666666667,0.5600952380952381,0.8910614525139665,2,4.922545428999911,4.952252225999928
100,10,after,offline_popularity,classification,0.5,0.5,0,3,75,0.44666666666666666,0.3655555555555556,0.38066666666666665,0.7031076581576027,2,5.148633244999928,5.17164151399993
100,10,after,offline_popularity,classification,0.5,0.5,1,3,75,0.5806666666666667,0.5519047619047619,0.5213323713323713,0.49493243243243246,5,3.2187902780001423,3.2386105199998383
100,10,after,offline_popularity,classification,0.5,0.5,2,3,75,0.6522222222222221,0.5326666666666667,0.5600952380952381,0.8910614525139665,2,2.796816055000363,2.812410552000074
100,20,before,offline_popularity,classification,0.5,0.5,0,7,75,0.5020952380952381,0.3761058201058201,0.4109460169460169,0.8651616839536302,2,7.4796876179998435,7.500902615999621
100,20,before,offline_popularity,classification,0.5,0.5,1,7,75,0.44479365079365074,0.4326031746031746,0.4224436304436305,0.5302189781021898,6,6.754167814000084,6.775796812999943
100,20,before,offline_popularity,classification,0.5,0.5,2,7,75,0.5731693121693122,0.506089947089947,0.5118213289977995,0.6465638148667602,5,6.714828860000125,6.734904858000391
100,20,after,offline_popularity,classification,0.5,0.5,0,7,75,0.5020952380952381,0.3761058201058201,0.4109460169460169,0.8651616839536302,2,4.656466679999994,4.683004737999909
100,20,after,offline_popularity,classification,0.5,0.5,1,7,75,0.44679365079365085,0.43526984126984125,0.42481400081400084,0.5302189781021898,6,3.321475577000001,3.341263329999947
100,20,after,offline_popularity,classification,0.5,0.5,2,7,75,0.5731693121693122,0.506089947089947,0.5118213289977995,0.6465638148667602,5,3.5643280869999217,3.5843403859998944
100,30,before,offline_popularity,classification,0.5,0.5,0,10,75,0.6115611055611055,0.5492901542901543,0.5557668995975632,0.9950095969289827,0,18.669165455999973,18.711023135000232
100,30,before,offline_popularity,classification,0.5,0.5,1,10,75,0.6325800865800866,0.5033554593554593,0.5344570630607782,0.856089258698941,4,10.600872637000066,10.633224601000165
100,30,before,offline_popularity,classification,0.5,0.5,2,10,75,0.636897657897658,0.5717117697117696,0.5904666382360554,0.7302964569775849,6,10.204501547999826,10.235301646000153
100,30,after,offline_popularity,classification,0.5,0.5,0,10,75,0.6115611055611055,0.5492901542901543,0.5557668995975632,0.9950095969289827,0,6.499222000999907,6.576262693999979
100,30,after,offline_popularity,classification,0.5,0.5,1,10,75,0.6325800865800866,0.5033554593554593,0.5344570630607782,0.856089258698941,4,5.047695642000235,5.0752289400002155
