num_voters,num_projects,setup,predictor,sample_degree,lv_degree,seed,k,num_tv,precision,recall,f1,fractional_allocation,symmetric_distance,pipeline_runtime,runtime
100,10,random,classification,0.5,0.5,0,3,75,0.6191111111111111,0.5922222222222222,0.5751851851851851,0.4095449500554939,3,12.199279065000155,12.21979107299967
100,10,random,classification,0.5,0.5,1,3,75,0.6728253968253969,0.7042857142857143,0.667007585007585,0.9369369369369368,0,2.084972153000308,2.095804498000234
100,10,random,classification,0.5,0.5,2,3,75,0.5780000000000001,0.5204444444444444,0.511068783068783,0.9932960893854748,0,1.537710896000135,1.56507171200019
100,10,random,matrix_factorization,0.5,0.5,0,3,75,0.6072380952380952,0.548,0.5281693121693122,0.9689234184239732,0,0.33428977199992,0.3472678220000489
100,10,random,matrix_factorization,0.5,0.5,1,3,75,0.6646031746031746,0.7806349206349206,0.6725259925259925,0.9369369369369368,0,0.0685532920001605,0.0834883160000572
100,10,random,matrix_factorization,0.5,0.5,2,3,75,0.4985079365079365,0.594,0.5093256373256373,0.4519553072625698,2,0.0692355219998717,0.0828690350003853
100,10,random,factorization_machines,0.5,0.5,0,3,75,0.6653333333333333,0.5717777777777777,0.5776825396825397,0.9689234184239732,0,0.1956366500003241,0.2109676969998872
100,10,random,factorization_machines,0.5,0.5,1,3,75,0.6413650793650794,0.6961587301587302,0.6343631923631924,0.9369369369369368,0,0.0631524220002575,0.0849306269997214
100,10,random,factorization_machines,0.5,0.5,2,3,75,0.5348888888888889,0.5442222222222222,0.5071265031265031,0.9932960893854748,0,0.0644447169997874,0.0827157829999123
100,10,offline_popularity,classification,0.5,0.5,0,3,75,0.4466666666666666,0.3655555555555556,0.3806666666666666,0.9689234184239732,0,1.9733470380001563,2.011040764999961
100,10,offline_popularity,classification,0.5,0.5,1,3,75,0.5806666666666667,0.5519047619047619,0.5213323713323713,0.4763513513513513,4,1.3431047280000712,1.3666652950000753
100,10,offline_popularity,classification,0.5,0.5,2,3,75,0.6522222222222221,0.5326666666666667,0.5600952380952381,0.9932960893854748,0,1.585052350999831,1.6014207529997293
100,10,offline_popularity,matrix_factorization,0.5,0.5,0,3,75,0.0697777777777777,0.1133333333333333,0.0804444444444444,0.9689234184239732,0,0.0612416459998712,0.0722905650000029
100,10,offline_popularity,matrix_factorization,0.5,0.5,1,3,75,0.5372698412698413,0.6546031746031746,0.5323098383098384,0.384009009009009,5,0.0643725580002865,0.0814490160000787
100,10,offline_popularity,matrix_factorization,0.5,0.5,2,3,75,0.3055555555555556,0.2997777777777778,0.2615661375661375,0.9932960893854748,0,0.0657405369997832,0.0823100920001707
100,10,offline_popularity,factorization_machines,0.5,0.5,0,3,75,0.5333333333333333,0.3957777777777778,0.3975873015873016,0.9689234184239732,0,0.0440301060002639,0.0647589840000364
100,10,offline_popularity,factorization_machines,0.5,0.5,1,3,75,0.5566666666666666,0.4887301587301587,0.474056758056758,0.9369369369369368,0,0.0404590490002192,0.0569839029999457
100,10,offline_popularity,factorization_machines,0.5,0.5,2,3,75,0.6133333333333333,0.528,0.5330158730158729,0.9932960893854748,0,0.044061572999908,0.0543487169998115
100,10,offline_consensus,classification,0.5,0.5,0,3,75,0.5533333333333333,0.2573333333333333,0.331015873015873,0.4095449500554939,3,1.7848917979999896,1.7969565789999251
100,10,offline_consensus,classification,0.5,0.5,1,3,75,0.5806666666666667,0.5519047619047619,0.5213323713323713,0.4763513513513513,4,1.3178696099998888,1.3470037920001232
100,10,offline_consensus,classification,0.5,0.5,2,3,75,0.7066666666666667,0.5877777777777778,0.624021164021164,0.9932960893854748,0,1.7126086829998712,1.733712910000122
100,10,offline_consensus,matrix_factorization,0.5,0.5,0,3,75,0.587968253968254,0.4873333333333333,0.4528292448292448,0.3523862375138735,3,0.0978926040002079,0.1206555939997997
100,10,offline_consensus,matrix_factorization,0.5,0.5,1,3,75,0.5372698412698413,0.6546031746031746,0.5323098383098384,0.384009009009009,5,0.0618221859999721,0.078372660000241
100,10,offline_consensus,matrix_factorization,0.5,0.5,2,3,75,0.3703492063492063,0.6462222222222223,0.4605749805749806,0.9932960893854748,0,0.0616067000000839,0.0817534929997236
100,10,offline_consensus,factorization_machines,0.5,0.5,0,3,75,0.5673333333333332,0.5724444444444444,0.5368571428571428,0.3523862375138735,3,0.1434061650002149,0.1619897259997742
100,10,offline_consensus,factorization_machines,0.5,0.5,1,3,75,0.5566666666666666,0.4887301587301587,0.474056758056758,0.9369369369369368,0,0.0528613619999305,0.0671522359998562
100,10,offline_consensus,factorization_machines,0.5,0.5,2,3,75,0.4257777777777777,0.3962222222222222,0.3936613756613756,0.9932960893854748,0,0.0447944739999002,0.0700031659998785
100,10,offline_controversiality,classification,0.5,0.5,0,3,75,0.7055555555555555,0.7106666666666667,0.6751216931216931,0.4095449500554939,3,2.0369037890000072,2.0564505890001783
100,10,offline_controversiality,classification,0.5,0.5,1,3,75,0.7344444444444445,0.8493968253968254,0.7639941539941539,0.9369369369369368,0,1.5153394809999554,1.539209681000102
100,10,offline_controversiality,classification,0.5,0.5,2,3,75,0.4355555555555555,0.4048888888888889,0.4069100529100529,0.9932960893854748,0,1.6355646279998837,1.6529915149999397
100,10,offline_controversiality,matrix_factorization,0.5,0.5,0,3,75,0.6324444444444444,0.5926666666666667,0.5592804232804233,0.4095449500554939,3,0.0625777159998506,0.0828281660001266
100,10,offline_controversiality,matrix_factorization,0.5,0.5,1,3,75,0.736095238095238,0.8161904761904762,0.7336234876234876,0.9369369369369368,0,0.0492842370003927,0.0690399280001656
100,10,offline_controversiality,matrix_factorization,0.5,0.5,2,3,75,0.4351111111111111,0.4333333333333333,0.3724126984126984,0.9932960893854748,0,0.1323981769996862,0.1528653929999563
100,10,offline_controversiality,factorization_machines,0.5,0.5,0,3,75,0.5777777777777778,0.6335555555555555,0.5755873015873015,0.9689234184239732,0,0.097034381999947,0.1149844800002029
100,10,offline_controversiality,factorization_machines,0.5,0.5,1,3,75,0.7001587301587301,0.772952380952381,0.7171427831427831,0.9369369369369368,0,0.0866504059999897,0.110263185000349
100,10,offline_controversiality,factorization_machines,0.5,0.5,2,3,75,0.4464444444444445,0.496,0.4462029822029822,0.9932960893854748,0,0.059677467000256,0.0778891199997815
100,10,online_adaptive_controversial,classification,0.5,0.5,0,3,75,0.604,0.6684444444444444,0.5883492063492063,0.9689234184239732,0,1.8081008909998677,1.829594370999985
100,10,online_adaptive_controversial,classification,0.5,0.5,1,3,75,0.7337777777777778,0.8607301587301587,0.7706611166611166,0.9369369369369368,0,1.9522126019996904,1.967697785999917
100,10,online_adaptive_controversial,classification,0.5,0.5,2,3,75,0.5388888888888889,0.4988888888888889,0.4899153439153439,0.9932960893854748,0,2.2668300320001435,2.283498946999771
100,10,online_adaptive_controversial,matrix_factorization,0.5,0.5,0,3,75,0.634888888888889,0.6148888888888889,0.5674603174603174,0.9689234184239732,0,0.0974772680001478,0.1132589570001982
100,10,online_adaptive_controversial,matrix_factorization,0.5,0.5,1,3,75,0.7075873015873015,0.8570793650793651,0.7555668775668775,0.9369369369369368,0,0.0957825669997873,0.122399046999817
100,10,online_adaptive_controversial,matrix_factorization,0.5,0.5,2,3,75,0.5688888888888889,0.4355555555555555,0.4321269841269841,0.9932960893854748,0,0.1201678890001858,0.1425182970001515
100,10,online_adaptive_controversial,factorization_machines,0.5,0.5,0,3,75,0.6673333333333333,0.6917777777777778,0.6423809523809524,0.9689234184239732,0,0.0970375870001589,0.1239670999998452
100,10,online_adaptive_controversial,factorization_machines,0.5,0.5,1,3,75,0.6967936507936507,0.7518095238095238,0.7041512561512562,0.9369369369369368,0,0.0821837459998278,0.1006413510003767
100,10,online_adaptive_controversial,factorization_machines,0.5,0.5,2,3,75,0.572,0.5495555555555556,0.5214920634920635,0.9932960893854748,0,0.0984379729998181,0.1281278329997803
100,20,random,classification,0.5,0.5,0,7,75,0.584079365079365,0.5788571428571428,0.5559237712178889,0.8181818181818182,3,2.2497495640000125,2.2670539999999164
100,20,random,classification,0.5,0.5,1,7,75,0.6007195767195767,0.5317936507936507,0.538029637029637,0.96,0,2.1091408699999192,2.132005177999872
100,20,random,classification,0.5,0.5,2,7,75,0.6004064454064455,0.6116445406445407,0.5821400726323327,0.3890603085553997,6,1.9202491440000813,1.9409474980002412
100,20,random,matrix_factorization,0.5,0.5,0,7,75,0.5454968734968735,0.7034021164021165,0.56864058817,0.966137888956681,0,0.1345712160000403,0.1644224379997467
100,20,random,matrix_factorization,0.5,0.5,1,7,75,0.6005608465608465,0.4285873015873016,0.4305274551156904,0.96,0,0.1943105279997325,0.2157784060000267
100,20,random,matrix_factorization,0.5,0.5,2,7,75,0.5964126984126984,0.5656604136604138,0.5130577549958355,0.6493688639551192,4,0.2181930760002615,0.2374033600003713
100,20,random,factorization_machines,0.5,0.5,0,7,75,0.5958095238095238,0.7388941798941798,0.634041699041699,0.6909701037217816,3,0.0758165180000105,0.0998682979998193
100,20,random,factorization_machines,0.5,0.5,1,7,75,0.6602222222222222,0.572047619047619,0.5806821326821328,0.96,0,0.0782417760001408,0.0980308479997802
100,20,random,factorization_machines,0.5,0.5,2,7,75,0.6622857142857143,0.675067821067821,0.6423521870859332,0.6493688639551192,4,0.0764068749999751,0.0976264910000281
100,20,offline_popularity,classification,0.5,0.5,0,7,75,0.4765396825396825,0.3523280423280423,0.3889565989565989,0.8923123856009763,2,2.3797490530000687,2.40181001100018
100,20,offline_popularity,classification,0.5,0.5,1,7,75,0.4467936507936508,0.4352698412698412,0.4248140008140008,0.7360583941605839,3,1.8837416500000472,1.9075981379996847
100,20,offline_popularity,classification,0.5,0.5,2,7,75,0.6056666666666666,0.5878768638768638,0.5654547215197371,0.6493688639551192,4,2.520923991000018,2.5419342379996124
100,20,offline_popularity,matrix_factorization,0.5,0.5,0,7,75,0.1951025641025641,0.1496825396825397,0.1474231389525507,0.966137888956681,0,0.0869644869999319,0.1082052399997337
100,20,offline_popularity,matrix_factorization,0.5,0.5,1,7,75,0.266047619047619,0.2155873015873015,0.1761480741480741,0.96,0,0.0914374139997562,0.1109118710000984
100,20,offline_popularity,matrix_factorization,0.5,0.5,2,7,75,0.3173121693121693,0.3581221741221741,0.300444855797797,0.6493688639551192,4,0.1130295749999277,0.143411905999983
100,20,offline_popularity,factorization_machines,0.5,0.5,0,7,75,0.4273333333333333,0.4192804232804233,0.4002180042180042,0.8181818181818182,3,0.0931665910002266,0.1153291689997786
100,20,offline_popularity,factorization_machines,0.5,0.5,1,7,75,0.5236084656084656,0.5573015873015873,0.5043679283679284,0.96,0,0.1756199609999384,0.1950717180002357
100,20,offline_popularity,factorization_machines,0.5,0.5,2,7,75,0.5508465608465608,0.5988292448292448,0.5291895727251764,0.844319775596073,3,0.0829665999999633,0.0978902879996894
100,20,offline_consensus,classification,0.5,0.5,0,7,75,0.6619365079365079,0.7193472823472824,0.6746682206682206,0.8181818181818182,3,2.1394388300000173,2.1612782010001865
100,20,offline_consensus,classification,0.5,0.5,1,7,75,0.5907777777777777,0.6012063492063492,0.5784178697119874,0.435912408759124,6,2.1640617409998413,2.186647615000311
100,20,offline_consensus,classification,0.5,0.5,2,7,75,0.644,0.7069090909090909,0.6573680857612746,0.6920056100981767,3,2.73269501599998,2.748777835000056
100,20,offline_consensus,matrix_factorization,0.5,0.5,0,7,75,0.562889332889333,0.8112924482924483,0.5937784318651192,0.8181818181818182,3,0.1653195500002766,0.1996133580000787
100,20,offline_consensus,matrix_factorization,0.5,0.5,1,7,75,0.4719413919413919,0.780978835978836,0.5362060483949029,0.96,0,0.1899613330001557,0.2369988720001856
100,20,offline_consensus,matrix_factorization,0.5,0.5,2,7,75,0.5167845487845487,0.6130610870610871,0.5085255292261618,0.6423562412342216,4,0.1091936739999255,0.1307147279999299
100,20,offline_consensus,factorization_machines,0.5,0.5,0,7,75,0.5744800384800385,0.7486748436748436,0.6292513608395961,0.4237339841366687,6,0.0677437989997997,0.0881526729999677
100,20,offline_consensus,factorization_machines,0.5,0.5,1,7,75,0.4789470899470899,0.6644444444444445,0.5302311609958669,0.4671532846715328,5,0.0693470119999801,0.0931598809997922
100,20,offline_consensus,factorization_machines,0.5,0.5,2,7,75,0.6126518666518667,0.6316960076960076,0.5935772282985906,0.7012622720897616,4,0.06871664900018,0.0925154000001384
100,20,offline_controversiality,classification,0.5,0.5,0,7,75,0.6074761904761904,0.5255555555555556,0.5422618862618862,0.966137888956681,0,2.4043815410000207,2.4201089759999377
100,20,offline_controversiality,classification,0.5,0.5,1,7,75,0.6970793650793651,0.7254920634920635,0.6942712842712843,0.96,0,1.9212949340003436,1.945714744999805
