num_voters,num_projects,setup,predictor,sample_degree,lv_degree,seed,k,num_tv,precision,recall,f1,fractional_allocation,symmetric_distance,pipeline_runtime,runtime
100,30,random,classification,0.1,0.1,0,3,99,0.5795835477653659,0.5330396301793713,0.5497484119490873,0.7297504798464491,5,12.369425642999886,12.390606312000273
100,30,random,classification,0.1,0.1,1,3,99,0.5812730479397146,0.40318504941945227,0.47016593613919,0.6047655068078669,7,1.5531162529996436,1.566483894999692
100,30,random,classification,0.1,0.1,2,3,99,0.5654761904761905,0.3503093715015565,0.4289941261502139,0.6943239334779465,5,1.2268245229997774,1.2397928130003493
100,30,random,classification,0.1,0.3,0,2,97,0.591408212769644,0.716553084946609,0.6421624609934936,0.7416506717850287,5,1.244186983999498,1.2588878280002973
100,30,random,classification,0.1,0.3,1,2,97,0.5643080287410184,0.4906809828201581,0.5173808079655741,0.6495839636913767,6,1.141104508999888,1.1560502529991936
100,30,random,classification,0.1,0.3,2,2,97,0.5127247525064383,0.6160828634676421,0.5537152004953613,0.20137382501807666,13,1.3994479949997185,1.4469367689998762
100,30,random,classification,0.1,0.5,0,2,95,0.6126302936829252,0.5979847082470514,0.5989219395668145,0.5535508637236084,7,1.597307138999895,1.6104539769994517
100,30,random,classification,0.1,0.5,1,2,95,0.5671345029239766,0.4129795256343244,0.47015074944176405,0.7085854765506808,6,1.1774721129995669,1.1902700330001608
100,30,random,classification,0.1,0.5,2,2,95,0.5266323537143971,0.5672155373006766,0.5409804975295388,0.5182574114244396,9,1.649222536000707,1.6637099280005714
100,30,random,classification,0.1,0.7,0,1,93,0.6173204931269447,0.6477817131379999,0.6270625564942419,0.4852207293666027,8,2.3096208719998685,2.3272098659999756
100,30,random,classification,0.1,0.7,1,1,93,0.5592900528384399,0.49222504458822247,0.5171735542881963,0.5695915279878971,8,1.681864676999794,1.700318693000554
100,30,random,classification,0.1,0.7,2,1,93,0.5198615751035106,0.5150605666734699,0.5118768938483002,0.5193420101229211,8,2.349561029999677,2.3678336309994847
